Date,Username,Rating,Review Text,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-06-08 01:24:25,Pengguna Google,5,agat bagus,agat bagus,agat bagus,agat bagus,"['agat', 'bagus']","['agat', 'bagus']",agat bagus
2025-06-08 01:23:25,Pengguna Google,3,lumayan seru,lumayan seru,lumayan seru,lumayan seru,"['lumayan', 'seru']","['lumayan', 'seru']",lumayan seru
2025-06-08 01:22:26,Pengguna Google,5,bagus dapat senin gratis,bagus dapat senin gratis,bagus dapat senin gratis,bagus dapat senin gratis,"['bagus', 'dapat', 'senin', 'gratis']","['bagus', 'senin', 'gratis']",bagus senin gratis
2025-06-08 01:21:41,Pengguna Google,5,kurangin dark sistem,kurangin dark sistem,kurangin dark sistem,kurangi dark sistem,"['kurangi', 'dark', 'sistem']","['kurangi', 'dark', 'sistem']",kurang dark sistem
2025-06-08 01:20:47,Pengguna Google,1,game anj,game anj,game anj,game anjing,"['game', 'anjing']","['game', 'anjing']",game anjing
2025-06-08 01:19:24,Pengguna Google,1,cukup ya moonton. ls mulu kocak.,cukup ya moonton ls mulu kocak,cukup ya moonton ls mulu kocak,cukup ya moonton ls mulu kocak,"['cukup', 'ya', 'moonton', 'ls', 'mulu', 'kocak']","['ya', 'moonton', 'ls', 'mulu', 'kocak']",ya moonton ls mulu kocak
2025-06-08 01:18:17,Pengguna Google,3,"Gw main game mau ngilangin stres, malah nambah stress. Kurang-kurangin dah tu dark sistem",Gw main game mau ngilangin stres malah nambah stress Kurangkurangin dah tu dark sistem,gw main game mau ngilangin stres malah nambah stress kurangkurangin dah tu dark sistem,gue main game mau menghilangkan stres malah menambah stres kurangkurangin sudah itu dark sistem,"['gue', 'main', 'game', 'mau', 'menghilangkan', 'stres', 'malah', 'menambah', 'stres', 'kurangkurangin', 'sudah', 'itu', 'dark', 'sistem']","['gue', 'main', 'game', 'menghilangkan', 'stres', 'menambah', 'stres', 'kurangkurangin', 'dark', 'sistem']",gue main game hilang stres tambah stres kurangkurangin dark sistem
2025-06-08 01:17:55,Pengguna Google,3,gemnya ga adil masa aku dikasih tim dragsisrem sementara lawannya GG aku lejen 4 jadi lejen 5 bintang 3 gara-gara tim dragsisrem banget banyak banget yang ngetroll,gemnya ga adil masa aku dikasih tim dragsisrem sementara lawannya GG aku lejen  jadi lejen  bintang  garagara tim dragsisrem banget banyak banget yang ngetroll,gemnya ga adil masa aku dikasih tim dragsisrem sementara lawannya gg aku lejen  jadi lejen  bintang  garagara tim dragsisrem banget banyak banget yang ngetroll,gemnya tidak adil masa aku dikasih tim dragsisrem sementara lawannya tidak aku lejen jadi lejen bintang garagara tim dragsisrem banget banyak banget yang ngetroll,"['gemnya', 'tidak', 'adil', 'masa', 'aku', 'dikasih', 'tim', 'dragsisrem', 'sementara', 'lawannya', 'tidak', 'aku', 'lejen', 'jadi', 'lejen', 'bintang', 'garagara', 'tim', 'dragsisrem', 'banget', 'banyak', 'banget', 'yang', 'ngetroll']","['gemnya', 'adil', 'dikasih', 'tim', 'dragsisrem', 'lawannya', 'lejen', 'lejen', 'bintang', 'garagara', 'tim', 'dragsisrem', 'banget', 'banget', 'ngetroll']",gemnya adil kasih tim dragsisrem lawan lejen lejen bintang garagara tim dragsisrem banget banget ngetroll
2025-06-08 01:17:34,Pengguna Google,1,"padahal kurang 1 bintang lagi naik ke mythic, udah dapet tim yang jago ye malah tim musuh afk dan invalid, masa hukuman cuma di turunin kredit skor nya. jadi kurang adil buat tim yang mau naik ini rank nya. saranya mendingan hukumannya di beratin lagi 👎🏽",padahal kurang  bintang lagi naik ke mythic udah dapet tim yang jago ye malah tim musuh afk dan invalid masa hukuman cuma di turunin kredit skor nya jadi kurang adil buat tim yang mau naik ini rank nya saranya mendingan hukumannya di beratin lagi ,padahal kurang  bintang lagi naik ke mythic udah dapet tim yang jago ye malah tim musuh afk dan invalid masa hukuman cuma di turunin kredit skor nya jadi kurang adil buat tim yang mau naik ini rank nya saranya mendingan hukumannya di beratin lagi ,padahal kurang bintang lagi naik ke mythic sudah dapat tim yang jago ye malah tim musuh afk dan invalid masa hukuman cuma di turunin kredit skor ya jadi kurang adil buat tim yang mau naik ini rank ya saranya mendingan hukumannya di beratin lagi,"['padahal', 'kurang', 'bintang', 'lagi', 'naik', 'ke', 'mythic', 'sudah', 'dapat', 'tim', 'yang', 'jago', 'ye', 'malah', 'tim', 'musuh', 'afk', 'dan', 'invalid', 'masa', 'hukuman', 'cuma', 'di', 'turunin', 'kredit', 'skor', 'ya', 'jadi', 'kurang', 'adil', 'buat', 'tim', 'yang', 'mau', 'naik', 'ini', 'rank', 'ya', 'saranya', 'mendingan', 'hukumannya', 'di', 'beratin', 'lagi']","['bintang', 'mythic', 'tim', 'jago', 'ye', 'tim', 'musuh', 'afk', 'invalid', 'hukuman', 'turunin', 'kredit', 'skor', 'ya', 'adil', 'tim', 'rank', 'ya', 'saranya', 'mendingan', 'hukumannya', 'beratin']",bintang mythic tim jago ye tim musuh afk invalid hukum turunin kredit skor ya adil tim rank ya sara mending hukum beratin
2025-06-08 01:17:12,Pengguna Google,5,papa muntun maaf ya kemarin marah marah kalo mau ku kasi bintang 5 terus kasi ku ws kasi skin gratis yang banyak skin lejen juga boleh 1 aja gapapa sma ws sampai imo di jamin gak akan ganti rating lagi jadi 1 hehe lop u makasi yaps udah turunin harga angela nya hehehheheh,papa muntun maaf ya kemarin marah marah kalo mau ku kasi bintang  terus kasi ku ws kasi skin gratis yang banyak skin lejen juga boleh  aja gapapa sma ws sampai imo di jamin gak akan ganti rating lagi jadi  hehe lop u makasi yaps udah turunin harga angela nya hehehheheh,papa muntun maaf ya kemarin marah marah kalo mau ku kasi bintang  terus kasi ku ws kasi skin gratis yang banyak skin lejen juga boleh  aja gapapa sma ws sampai imo di jamin gak akan ganti rating lagi jadi  hehe lop u makasi yaps udah turunin harga angela nya hehehheheh,papa muntun maaf ya kemarin marah marah kalau mau ku kasih bintang terus kasih ku ws kasih skin gratis yang banyak skin lejen juga boleh saja gapapa sama ws sampai imo di jamin tidak akan ganti rating lagi jadi hehe lop lu yaps sudah turunin harga angela ya hehehheheh,"['papa', 'muntun', 'maaf', 'ya', 'kemarin', 'marah', 'marah', 'kalau', 'mau', 'ku', 'kasih', 'bintang', 'terus', 'kasih', 'ku', 'ws', 'kasih', 'skin', 'gratis', 'yang', 'banyak', 'skin', 'lejen', 'juga', 'boleh', 'saja', 'gapapa', 'sama', 'ws', 'sampai', 'imo', 'di', 'jamin', 'tidak', 'akan', 'ganti', 'rating', 'lagi', 'jadi', 'hehe', 'lop', 'lu', 'yaps', 'sudah', 'turunin', 'harga', 'angela', 'ya', 'hehehheheh']","['papa', 'muntun', 'maaf', 'ya', 'kemarin', 'marah', 'marah', 'ku', 'kasih', 'bintang', 'kasih', 'ku', 'ws', 'kasih', 'skin', 'gratis', 'skin', 'lejen', 'gapapa', 'ws', 'imo', 'jamin', 'ganti', 'rating', 'hehe', 'lop', 'lu', 'yaps', 'turunin', 'harga', 'angela', 'ya', 'hehehheheh']",papa muntun maaf ya kemarin marah marah ku kasih bintang kasih ku ws kasih skin gratis skin lejen gapapa ws imo jamin ganti rating hehe lop lu yaps turunin harga angela ya hehehheheh
