text,Sentiment
game sampah kasih team mulu loos treak kali draft pick ya main rank rank nih game seru tolong bikin sistem ketemu dsek sistem ketemu rank kecuali pakai roket ya gue plis rising sabtu jumat kayak senin jumat bp pakai dituker dm hpnya dibanyakin gue kesi new,Positif
serius banget stres,Negatif
geme bagus banget tolong download nyh ngabisin kuata banget,Positif
monton dikit kasih tim gue kesel banget,Negatif
playernya toxic hukum dark system muas najis joki gendong lagak rank main kayak epic,Negatif
indak suka indak kayak coba gratisin skin epic,Negatif
game ya bagus collab naruto,Positif
login hp samsung pindah game roblox seru macet,Positif
game bagus moonton tim jago jago bot honor turun moonton hati,Positif
dpet tim waras,Negatif
game tolol bot,Negatif
tolong timbang gacha skin als angela sumpah kecewa banget tunggu ambil pas rilis ambil dana lisis tip tolong skin asl angela tara skin kagura lesley asl kasihan player gratis harap user angela ambil tolong timbang angela minat dimahalin harap moonton merespon trimakasi,Positif
malas monton akun gue dibannd gue katai pakai cheat pakai cheat,Negatif
monoton tolong cepat hilang dark sistemtroll legend bintang full legend bintang tolong monoton hilang tim troll tanding adil muak monoton tolong cepat hapus tim troll,Negatif
game ramah lostreak partyan orang match imbang mana rekan gm epik match masyaallah sila download guys gamenya senang,Positif
kena dark sistem mohon moonton menang sedikit main kalah terus mohon victory,Negatif
lag sinyal ku hijau lag tolong benar,Positif
the game is good but for saber you have an anime skin like one piece chainsaw man thats all you need read thank you,Positif
beli skin summer claude lifeguard pakai skin ya game habis diamond beli skin clint summer terima skin ya pakai,Positif
bagus game penuh kenang mabar teman ubah main selesai misi,Positif
game kontok,Positif
seru naikin ranknya susah cowok dark sistem,Negatif
drak system malas gue main,Negatif
montonn tolonggg fotoh skin sasuke gantiiii tarik monton sayang banget skin mahal gue beli fotoh ya jelek banget kayak fotoh ktp plis monton akunn gue ygg ngehek tolong keamananya tingkat montonn,Positif
kesini match making kagak tim ngetroll ngetroll rebut role kesini kagak moonton match making moonton goblog kesini rusak gamenya,Negatif
montoon deskripsi game ml game ya seru bagus hp muat game mohon game rubah mbnya langsung rilis game mlbb lite server indonesia,Positif
gemnya bagus benget download gem suka buang suntik bikin senang putusin pacar min gem sepi hilang sekian komentar,Negatif
dear mobile legend montoon gue ex imo main solo tim gue ex romawi asih tim kikir asih skinevent,Negatif
nih game penuh anomali gj anjir hati player pindah game,Positif
mobile lengends seru kredit skor rendah mainn ajar mobile lengends giat main afk mulu maaf afk mulu main ya hp nenek ajar afk mabar teman teman ku game ya ya seru afk afk afk sekian,Positif
gamenya rank kasih monton tim dark sistem download gamenya bikin emosi,Negatif
terimakasih moonton dengar keluh kesah skin angela,Positif
buruk banget game,Positif
gila game ya,Positif
hapus game kau moonton mainin nge cheater,Negatif
game bagus kesal rana kalah hehe,Positif
monton tolong asih tim banyak baggg gua beli data gua mainpas main ngeleg parah batu beli loh montonaneh game bagus bagg ya babi gua main game monton,Negatif
khusus moonton gua capek ngepush ketemu binatang tolong gua cuman mytik nik gua pisonaja,Negatif
moonton tolong kasih win triek puluh janji afk moonton maaf kasih bintang moonton biar nomor game ya main mobile legends moonton,Positif
gajadi moonton,Negatif
moonton gua tim kuat macet paksa afk masuk banget gua habis kredit skor ah montoon tolongg baik,Negatif
bagi tim adil game sampah auto uninstal,Negatif
seru banget game skor pas afk papa tunggu skor ya,Positif
pas main seru pas ganti hp masak akun pulih email sandi akun ml,Positif
game match making main botserasa main hapus vs ya vs,Positif
gem sampah,Negatif
min plis banyak drak sistem nih capek min loss kali min tolong,Negatif
dear moonton tolong balik fragmen starlight jangn pakai metode gacha susah player nabung fragmen player gratis,Negatif
parah banget beraap season main pakai chete ketemu epik seson darf ban darft ban mitic nabrak rank imo palyer suka ngetroll kasih sanksi berat capek usaha menang troll mvp pas menag gue mvp pas cek stroy tanding silver sih montoon sistem baik enteng banget kasih silver,Positif
moonton kikir,Positif
game asu tim dark sistem muli,Negatif
match buruk,Negatif
cocok depresi,Negatif
sih nyal ya merah mulu,Positif
game kikir game losterk,Positif
bagusssss banget nih game hilang bosann,Positif
maaf enga kasih bintang bintang rank ku kasih turun taun main solo kasih tim banyak kalah mulu rasai mitiq susah ampun berat terimakasih,Negatif
ml hormat segenap hati hormat moonton keluh rasa perihal post foto profil gagal selesai pilih foto galeri loby game ulang ulang laku kesal tolong baik terimakasih,Positif
kasih bintang pokok moga bocor ku dengar terap global,Positif
woii moontod tolong gue main frist pick musuh mulu kali musuh mulu heran gue cuman kasih pas login doang suka frist pick tolong frist pick ya estapet tolol,Negatif
gjls orang skin sl annual resale fragmen beda adil spin dluan tunggu tahun inti spin dluan ya enak dluan pamer dluan tunggu telat dapetnya kayak spin skin crest brutal hemat brutal pamer duluan hemat tunggu sabar event moonton gj konsisten angela beda wkwk aneh moonton,Negatif
bintang monoton baperan dikit etik pas main ingat lol,Negatif
seru senang main kasih reting mobil legends,Positif
game ya baguspokoknya seru dehtapi kurang kurang lag tanding yasoalnya lag suka henti warsegitu sihsemoga depan ml kembang,Positif
tim waras tonn tonnn,Negatif
ml ya ngelek tok wes jalan no jalan dewe malas karo ml ngelek patah patah ngelek banget ikulah ml ngelekan patah patah,Negatif
kalah kali loh akun epic cocok kali main epic apa akun ban perkara pane script doang,Negatif
game ya pas nyakut epic kalah menang,Positif
mythical honor serasa main epic su kayak main judol menang kali habis losetreak,Negatif
ml tuh asih publik kasih tim bocil gila ya bintang gue kesel,Negatif
suka main main bug ya tolong baik ya,Positif
malas main game bikin stres push rank tim bodok main goood bye mobile legend welcome pubg mobile,Negatif
moonton tolong hilang drak sistem resah moonton,Negatif
bagus tolong kasih musuh bot oke,Negatif
ml sayang banget akuuuu,Positif
game rusak kasih team legend yerus rank mytik glory kasih lawan imbang game rusak kapai dimainin bikin kesel,Positif
cocok ku main game,Positif
main game biar stres stres,Negatif
monton mal rusak tolong baik ya kasih bintang,Positif
kasih bintang sedikit game bosan sinyal bagus warna hijau pas main kayak apa kuning merah hijau tolong baik ya bikin emosi game main jaring ya bagus banget pas masuk tanding lag jaring stabil ya teman alami jaring game sumpah orang main main ff dah ya,Positif
mantap kadang kecewa,Positif
assalamualaikum moonton diamon ku ngurang ya tau ya moonton moga baca cepat ya pengin gacha skin naruto pengin sasuke mohon baca ya moonton nama akun abang hanif,Positif
game bagus,Positif
game inikoq ku tibaberkurang kredit score ya ya tibapadahal main sungguhdi game afkfeed,Positif
